Series Name,"Country Name","Time","Value"
"Inflation, consumer prices (annual %)","United States","1971","4.29276668813045"
"Inflation, consumer prices (annual %)","United States","1972","3.27227824655283"
"Inflation, consumer prices (annual %)","United States","1973","6.17776006377041"
"Inflation, consumer prices (annual %)","United States","1974","11.0548048048048"
"Inflation, consumer prices (annual %)","United States","1975","9.14314686496534"
"Inflation, consumer prices (annual %)","United States","1976","5.74481263549085"
"Inflation, consumer prices (annual %)","United States","1977","6.50168399472839"
"Inflation, consumer prices (annual %)","United States","1978","7.63096383885602"
"Inflation, consumer prices (annual %)","United States","1979","11.2544711292795"
"Inflation, consumer prices (annual %)","United States","1980","13.5492019749684"
"Inflation, consumer prices (annual %)","United States","1981","10.3347153402771"
"Inflation, consumer prices (annual %)","United States","1982","6.13142700027494"
"Inflation, consumer prices (annual %)","United States","1983","3.21243523316063"
"Inflation, consumer prices (annual %)","United States","1984","4.30053547523427"
"Inflation, consumer prices (annual %)","United States","1985","3.54564415209369"
"Inflation, consumer prices (annual %)","United States","1986","1.89804772234275"
"Inflation, consumer prices (annual %)","United States","1987","3.66456321751691"
"Inflation, consumer prices (annual %)","United States","1988","4.07774110744408"
"Inflation, consumer prices (annual %)","United States","1989","4.82700303008949"
"Inflation, consumer prices (annual %)","United States","1990","5.39795643990322"
"Inflation, consumer prices (annual %)","United States","1991","4.23496396453853"
"Inflation, consumer prices (annual %)","United States","1992","3.0288196781497"
"Inflation, consumer prices (annual %)","United States","1993","2.95165696638554"
"Inflation, consumer prices (annual %)","United States","1994","2.6074415921546"
"Inflation, consumer prices (annual %)","United States","1995","2.80541968853655"
"Inflation, consumer prices (annual %)","United States","1996","2.9312041999344"
"Inflation, consumer prices (annual %)","United States","1997","2.33768993730741"
"Inflation, consumer prices (annual %)","United States","1998","1.55227909874362"
"Inflation, consumer prices (annual %)","United States","1999","2.18802719697358"
"Inflation, consumer prices (annual %)","United States","2000","3.37685727149935"
"Inflation, consumer prices (annual %)","United States","2001","2.82617111885402"
"Inflation, consumer prices (annual %)","United States","2002","1.58603162650603"
"Inflation, consumer prices (annual %)","United States","2003","2.27009497336113"
"Inflation, consumer prices (annual %)","United States","2004","2.67723669309173"
"Inflation, consumer prices (annual %)","United States","2005","3.39274684549547"
"Inflation, consumer prices (annual %)","United States","2006","3.22594410070407"
"Inflation, consumer prices (annual %)","United States","2007","2.85267248150136"
"Inflation, consumer prices (annual %)","United States","2008","3.83910029665101"
"Inflation, consumer prices (annual %)","United States","2009","-0.35554626629975"
"Inflation, consumer prices (annual %)","United States","2010","1.64004344238989"
"Inflation, consumer prices (annual %)","United States","2011","3.15684156862206"
"Inflation, consumer prices (annual %)","United States","2012","2.06933726526059"
"Inflation, consumer prices (annual %)","United States","2013","1.46483265562714"
"Inflation, consumer prices (annual %)","United States","2014","1.62222297740821"
"Inflation, consumer prices (annual %)","United States","2015","0.118627135552435"
"Inflation, consumer prices (annual %)","United States","2016","1.26158320570537"
"Inflation, consumer prices (annual %)","United States","2017","2.13011000365963"
"Inflation, consumer prices (annual %)","United States","2018","2.44258329692818"
"Inflation, consumer prices (annual %)","United States","2019","1.81221007526015"
"Inflation, consumer prices (annual %)","United States","2020",".."
,"","",""
,"","",""
,"","",""
Data from database: World Development Indicators,"","",""
Last Updated: 10/15/2020,"","",""
